Gemeentenaam,Gemeentecode,Provincienaam,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Gooise Meren,1942,Noord-Holland,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3,3,4,4,4,9,9,10,10,11,11,11,12,18,20,24,25,25
Berg en Dal,1945,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,6,6,10,14,14,18,20,25,30,33,35,37,43,44,53,64
Meierijstad,1948,Noord-Brabant,0,0,0,0,0,0,0,0,0,1,4,10,11,13,18,25,30,34,42,49,60,72,81,95,119,127,139,149,168,195,207,227
Waadhoeke,1949,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6
Westerwolde,1950,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4
Midden-Groningen,1952,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,5,5,6,6
Beekdaelen,1954,Limburg,0,0,0,0,0,0,0,0,1,2,2,4,5,8,8,8,9,12,13,15,18,18,19,19,19,20,29,30,32,34,37,39
Montferland,1955,Gelderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,4,5,6,10
Altena,1959,Noord-Brabant,0,0,0,1,1,3,3,4,4,4,4,4,4,4,5,8,9,10,12,12,15,19,19,22,23,25,28,35,35,39,41,41
West Betuwe,1960,Gelderland,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3,6,6,8,11,12,12,15,17,19,22,24,34,34
Vijfheerenlanden,1961,Utrecht,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,4,4,7,7,9,11,12,18,21,24,24,27,36
Hoeksche Waard,1963,Zuid-Holland,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1,1,1,2,4,6,8,12,17,17,21,23,31,36,43,51,55,60
Het Hogeland,1966,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,7,7,9
Westerkwartier,1969,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,3,6,8,8,9,12,15,16,18
Noardeast-Fryslân,1970,Friesland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,4,4,6
Molenlanden,1978,Zuid-Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,9,11,11,11,11,13,16,16,17,18,19
